#{"t_start": 1781084844.2619836, "env_id": "None"}
r,l,t
-1.0,256,1398.011154
-1.0,311,1404.034368
1.0,224,1407.40519
-1.0,208,1411.904278
1.0,209,1415.553516
-1.0,300,1420.092778
-1.0,464,1428.354249
1.0,164,1430.78836
1.0,173,1432.546306
-1.0,232,1437.246251
-1.0,247,1442.258383
1.0,150,1444.002549
-1.0,196,1445.980944
-1.0,228,1449.37308
-1.0,227,1453.205937
1.0,156,1456.452277
-1.0,183,1459.040459
-1.0,200,1462.435455
1.0,239,1466.006499
1.0,208,1468.602197
1.0,200,1472.157614
-1.0,212,1475.799884
1.0,270,1478.838618
1.0,486,1487.878771
-1.0,235,1490.451628
1.0,256,1493.794925
1.0,347,1501.764866
-1.0,181,1504.579789
1.0,213,1506.982306
1.0,214,1509.872247
-1.0,227,1515.722582
1.0,181,1517.963318
1.0,206,1520.35646
-1.0,307,1525.231535
1.0,289,1531.810647
1.0,281,1535.098902
1.0,243,1538.36248
1.0,290,1542.749944
1.0,196,1546.682984
1.0,188,1548.416036
-1.0,187,1550.086941
-1.0,189,1553.339786
-1.0,178,1557.071814
-1.0,245,1561.586507
-1.0,250,1565.452306
-1.0,204,1568.543431
1.0,317,1574.381495
1.0,153,1575.565351
-1.0,149,1577.417671
-1.0,200,1580.315536
-1.0,199,1583.637098
-1.0,203,1588.459377
1.0,189,1591.948107
1.0,184,1593.590182
-1.0,220,1597.458964
-1.0,263,1603.998069
1.0,324,1607.618404
-1.0,193,1609.955536
1.0,93,1611.103179
-1.0,138,1612.691512
-1.0,181,1615.515901
1.0,182,1619.257056
1.0,205,1622.808902
-1.0,223,1626.215757
1.0,225,1629.71567
-1.0,194,1634.002002
-1.0,290,1639.554142
-1.0,161,1641.832485
1.0,271,1648.671401
1.0,123,1649.761096
1.0,175,1652.253612
1.0,235,1654.562304
-1.0,155,1656.705558
1.0,188,1659.691961
-1.0,200,1663.64671
1.0,191,1665.615164
-1.0,281,1668.828354
1.0,260,1672.919742
1.0,171,1675.925524
1.0,172,1678.277425
-1.0,248,1682.859001
